Ronk,12336.5,97.611,112033,350
emilia,12335.3,96.4283,160348,351
azaz08967565,12331,98.5706,192145,352
TWOJA STARA,12325.8,99.0713,128162,353
Lucrise,12319.6,99.0326,45522,354
Crystal,12317.9,98.3344,147411,355
noob pwner,12311.8,99.0098,76527,356
Hasawa Kraenes,12301.5,99.0289,92601,357
yary_nicht_lary,12299.9,97.979,131282,358
Juztan,12299.5,97.1047,162608,359
SadnessWillSear,12298.5,99.3021,139078,360
Mystia,12297.9,99.0094,204681,361
Woey,12293.9,99.3322,410087,362
Wucki,12289.9,98.9171,174589,363
_HaxOr_,12288.9,97.3128,117340,364
Wilchq,12287.6,99.3708,140568,365
Shizuru-,12275.6,98.2328,116140,366
iamVill,12275,98.5273,70774,367
Decaten,12273.7,98.231,48652,368
Arnold576,12270.3,99.2914,122927,369
wathan,12268.7,98.8946,49232,369
t[-_-t],12265.4,98.396,189219,371
amogus_gaming,12262.2,98.7713,171688,372
Nalian,12257.5,97.8169,132717,373
Zmatureeno,12254.4,98.9537,155815,374
yung fleezy,12245.2,96.9175,37717,375
Dream Fire,12241.4,97.2529,76701,376
Ayla,12239.7,98.99,241699,377
WindowLife,12238.7,97.6311,110711,378
Apraxia,12238.5,98.4966,134643,379
Applett,12238.3,97.1997,89858,380
Area,12234.3,99.396,160700,381
Nezzar,12227.3,98.7437,159511,382
Javen,12225.3,98.472,97882,383
Zakura,12224.5,98.7484,142271,384
ChaiPhukChep,12210,98.1503,127224,385
MakiDonalds,12206.7,99.3331,127878,386
Thorfinn,12204.5,99.1359,137478,387
Reyuza,12200.9,98.3235,105758,388
seegii,12195.8,98.9732,111836,389
Flezlin,12193.8,97.2275,87481,390
Zekker,12185.3,98.7722,124813,391
lowju,12179,98.5081,176726,392
kiirochii,12178.2,98.2069,97852,393
Dylson,12174,99.2404,128148,393
Not DT Farmer,12172.1,95.8642,151485,394
Anze,12171.8,97.9141,210837,395
Razei,12169.5,98.3384,84953,396
zeta,12169.2,98.8897,120092,397
Zeklewa,12164.5,98.0567,53049,399
gusrua123,12163,98.7888,125455,400
Aristia,12155.8,97.6948,80139,401
